Livsmedelsnamn;Livsmedelsnummer;Energi (kcal)(kcal);Protein(g);Fett(g);Kolhydrater(g)
Kronärtskocka;342;52;2,7;0,2;7,3
Kålrabbi;343;29;1,7;0,1;4,4
Lök gul;344;39;1,2;0,1;7,3
Majskolv;345;125;3,9;1,6;22,1
Majskolv fryst;346;111;3,3;0,8;21,5
Majskorn frysta;347;100;3;0,8;18,9
Mangold;348;21;1,8;0,2;2,6
Nässlor förvällda;349;31;4,1;0,7;0,6
Paprika grön;350;21;0,8;0,1;3,3
Paprika röd;351;31;1,1;0,2;5,2
Persilja blad;352;35;2,2;0,3;4,4
Pumpa;353;26;1;0,1;4,4
Purjolök;354;30;1,6;0,2;4,1
Rödkål;355;31;1,1;0,3;4,7
Huvudsallat;356;14;1,4;0,2;1,1
Savojkål;357;28;2;0,1;3,6
Salladskål;358;21;1,3;0,1;2,7
Sockerärter;359;37;3,4;0,2;4,3
Spenat;360;18;1,9;0,5;0,7
Spenat fryst;361;20;2,3;0,6;0,5
Squash;362;17;1,2;0,1;2,2
Tomat;364;18;0,8;0,1;2,6
Soltorkade tomater i olja avrunna;365;190;5;12,5;8,7
Trädgårdskrasse;366;37;2,6;0,7;4,3
Vattenkrasse;367;26;2,9;0,1;1,8
Vaxbönor;368;33;1,8;0,1;4,7
Vaxbönor frysta;369;29;1,8;0,1;3,8
Vitkål;370;30;1,1;0,1;4,7
Vitlök;371;160;6,4;0,5;31,1
Aubergine;372;19;1,1;0,1;2,2
Gröna ärter;373;72;5,4;0,4;8,8
Gröna ärter frysta;374;69;5,2;0,4;8,9
Sparris grön el vit;375;27;3,1;0,2;2,4
Alfalfagroddar;376;32;4;0,7;0,9
Dill;377;58;3,7;0,8;7,4
Gräslök;378;28;2,8;0,6;1,7
Basilika färsk;379;25;2,5;0,6;0,4
Chilipeppar färsk;380;47;2;0,2;9,2
Paprika gul;381;29;1,1;0,2;4,4
Paprika grön röd fryst;382;26;1;0,4;3
Champinjoner skivade frysta;383;19;2;0,4;0,8
Linsgroddar;384;125;9;0,6;19,1
Lök gul fryst;385;29;1,5;0;4,1
Grönsaksblandning ärter majs morötter bönor fryst;386;68;3,3;0,5;11,1
Grönsaksblandning ärter morötter bönor blomkål fryst;387;38;2,4;0,5;4,5
Grönsaksblandning ärter morötter fryst;388;60;3,7;0,5;9
Grönsaksblandning ärter majs paprika fryst;389;66;4,2;0,5;8,7
Grönsallat gurka tomat u dressing;390;16;0,9;0,1;2,3
Råkost u dressing;391;30;0,9;0,1;5,2
Paprika grön gul röd;392;26;0,9;0,1;4
Bambuskott konserv u lag;393;24;1,7;0,4;3,1
Gröna bönor konserv m lag;394;20;1;0,1;3,2
Gröna bönor konserv u lag;395;21;1,2;0,1;3
Grönsaksblandning ärter majs paprika saltgurka fryst;396;72;3;0,5;12,5
Champinjoner konserv m lag;397;15;1,9;0,1;0,9
Löksoppa klar konserv tillagad;398;33;1,1;2,2;2
Löksoppa pulver tillagad;399;18;0,6;0,4;2,8
Majskorn konserv u lag;400;103;2,9;0,6;20,2
Oliver gröna inlagda;401;129;1,4;12,7;1,6
Oliver svarta m olja konserv;402;354;2,2;36;4,8
Grönsaksblandning inlagda el pickels sötad u lag;403;116;1,5;0,1;26,1
Sparris grön vit konserv u lag;404;21;2,1;0,7;0,9
Sparrissoppa redd konserv tillagad;405;35;0,9;1,7;3,7
Surkål konserv m lag;406;17;0,9;0,2;2
Tomater hela konserv m lag;407;18;0,9;0,2;2,1
Tomatjuice konserv drickf;408;18;0,8;0,1;2,7
Tomatpasta konserv;409;89;3,8;0,9;13,7
Tomatpuré konc konserv;410;44;1,7;0,1;7,7
Vaxbönor konserv u lag;411;24;1,4;0,3;2,5
Gröna ärter konserv m lag;412;63;3,5;0,3;10,5
Gröna ärter konserv u lag;413;60;4,4;0,4;7,3
Mungbönsgroddar konserv u lag;414;16;1,4;0,1;0,8
Sojabönsgroddar konserv u lag;415;16;1,6;0,2;0,6
Paprikasallad inlagd u lag;416;31;1;0,4;4,3
Ajvar relish grönsakspasta m paprika aubergine;417;70;1,3;3,5;6,9
Svamp konserv u lag;418;23;2,5;0,5;0,9
Kantareller konserv u lag;419;36;1,4;0,7;4,8
Syltlök inlagd;420;83;0,9;0,1;18,7
Tomater gröna syltade;421;86;1,2;0,2;18,6
Tomater krossade konserv m lag;422;22;0,8;0,2;3,7
Fefferoni inlagd konserv;423;19;0,7;0,1;1,7
Wokgrönsaker Asiatiska wokade i rapsolja;424;49;1,4;1,3;5,7
Wokgrönsaker Classic wokade i rapsolja;425;47;1,8;1,6;4,9
Grönsaksblandning ärter morötter konserv m lag;426;41;2,2;0,3;6,1
Grönsaksjuice konserv el pastöriserad drickf;427;19;0,6;0,1;3,7
Champinjoner konserv u lag;428;26;1,9;0,3;2,7
Pumpasallad m paprika inlagd sötad u lag;429;64;0,9;0,2;13,5
Grönsakssoppa klar ;430;23;0,9;0,2;3,9
Spenatsoppa hemlagad;431;36;1,9;2;2,2
Vitkålsstuvning hemlagad;432;69;2,3;3,3;6,8
Blomkål gratinerad;433;67;3,5;3,7;4,3
Blomkål kokt utan salt;434;24;1,9;0,2;2,5
Blomkålsstuvning;435;54;2,7;2,2;5,2
Gröna bönor stuvade;436;67;2,4;3,7;5,2
Grönkålssoppa;437;28;1,2;1,5;2
Grönsakssoppa redd;438;38;1,8;1,5;3,7
Grönsaksbiff stekt;439;124;4,6;5,6;12,2
Grönsallat m vinägrettsås;440;61;1,1;5,2;2,1
Grönsallat m gurka tomat o vinägrettsås;441;84;0,9;7,9;2,4
Grönsallat m gräddfilsås;442;69;2;4,6;4,5
Grönsallat gurka tomat m gräddfilsås;443;68;1,9;4,6;4,7
Grönsallat gurka tomat paprika u dressing;444;16;0,9;0,1;2,5
Gurka färskinlagd;445;31;0,8;0,1;6,8
Lök stekt;446;106;1,6;6,2;9,9
Löksås;447;78;2,1;4,7;6,5
Lök kokt;448;45;1,4;0,1;8,5
Nässelsoppa;450;29;1,1;2;1,5
Paprika förvälld;451;22;0,8;0,1;3,4
Purjolök kokt;452;29;1,5;0,1;4
Rödkål brynt kokt;453;70;1,3;2,3;9,5
Sparrisstuvning;454;65;3,7;2,8;5,9
Spenat fräst;455;54;3,1;3,8;0,7
Spenatstuvning;456;41;3;1,2;3,6
Champinjoner stekta;457;69;3;3,2;5,9
Champinjonstuvning;458;118;3,8;7,5;8,6
Champinjonsås;459;119;4;8,3;7,1
Tomatsallad m vinägrettsås;460;59;0,8;4,8;2,8
Tomatröra italiensk;461;71;1,1;5,3;3,8
Tomatröra mexikansk salsa kall;462;74;1;5,7;4,4
Vegetarisk gryta;463;50;1,2;2;5,5
Vitkålssoppa vegetarisk;464;16;0,7;0,2;2,2
Vitkål kokt;465;36;1,4;0,1;5,7
Brunkål;466;51;1,7;0,2;9
Vitkålssallad pizzasallad;467;143;0,9;12,6;5,9
Vitkålssallad m lingonsylt;468;71;0,8;0,1;15,4
Aubergine kokt;469;20;1,2;0,1;2,3
Aubergine stekt;470;50;1,1;3,6;2,2
Ärter morötter kokta;471;57;3,2;0,3;8,2
Ärter morötter stuvade;472;78;3;3,1;8,6
Ärtpuré;473;36;2,1;0,7;4,3
Grönsaksgryta majs purjo ärter;475;93;4;1,3;14,3
Grönsaksgryta ospec.;478;46;1,7;1,3;5,5
Grönsaksgratäng ospec.;479;92;4,3;4,9;6,7
Grönsakssoppa m pasta m pulver tillagad;480;30;0,9;0,8;4,2
Löksoppa fransk pulver tillagad m vatten;481;25;0,4;0,2;5,2
Grönsakssoppa klar konserv tillagad;482;15;0,6;0,1;2,3
Grönsakssoppa klar pulver tillagad;483;21;1,2;0,4;3,1
Grönsakssoppa redd pulver tillagad m vatten mjölk;484;49;1,7;2,2;5,1
Grönsakssoppa redd pulver tillagad typ Varma koppen;486;45;0,5;2,2;5,3
Gurka inlagd;487;59;0,7;0,7;11,4
Bostongurka;488;79;1;0,4;16,6
Gurka fermenterad u lag;489;9;1;0;1
Saltgurka u lag;490;15;0,9;0,2;1,4
Ättiksgurka u lag;491;43;0,9;0,3;8,2
Kronärtskocka kokt;492;52;2,8;0,2;9,4
Champinjonsoppa pulver tillagad m vatten mjölk;493;56;1,6;2,6;6,5
Champinjonsoppa redd konserv tillagad m mjölk;494;64;2,3;3,7;5,5
Majskolv kokt;495;100;3,3;1;17,3
Blomkålssoppa pulver tillagad m vatten mjölk;496;51;1,6;2,2;5,9
