Livsmedelsnamn;Livsmedelsnummer;Energi (kcal)(kcal);Protein(g);Fett(g);Kolhydrater(g)
Digestivekex fullkorn glutenfria;2223;462;1,9;16,1;75,3
Chokladkakor glutenfria;2224;502;1,3;25,1;66,8
Glutenfritt hårt bröd fibrer ca 7,5% typ Grovknäcke;2225;372;2,9;2,3;79,9
Tagliatelle äggpasta glutenfritt okokt ;2226;384;2,6;4,5;82,1
Pasta 100 % majs glutenfri okokt;2227;366;6,9;1,8;77,7
Bearnaisesås fett 8% Kelda;2228;112;2,3;8;7,7
Klassisk gräddsås fett 6% Kelda;2229;88;2;5,8;7,1
Ostsås fett 8% Kelda;2230;118;4,7;7,6;7,9
Bearnaise sås typ Spisa Rydbergs;2231;342;1;35,5;5,9
Rödvin sås fett 1,5% Spisa Rydbergs;2232;65;1,2;1,2;12,1
Kebabasås vit fett 30% Rydbergs;2233;300;1,7;30,9;5
Svamp sås fett 8,5% Spisa Rydbergs;2234;119;2,7;8,7;7,6
Café de Paris sås fett 39% Spisa Rydbergs;2235;339;1,6;34,4;7
Varmkorv fett 7% Må gott;2236;170;12;9,9;7,6
Prinskorv fett 8% Må gott;2237;129;11,8;5,4;7,7
Chorizo fett 9% Må gott;2238;160;14,4;9;4,8
Lättkorv fett 7% Må gott;2239;131;10,1;7;6
Salami fett 9% Må gott;2240;174;24,4;8;1,1
Kokt medwurst fett 7% Må gott;2241;129;10,3;6,8;6,1
Fruktyoghurt lättsockrad fett 0,2%;2242;64;3,6;0,3;11,5
Fruktyoghurt lättsockrad laktosreducerad fett 0,1%;2243;64;3,9;0,3;11,2
Frukostflingor fullkorn sockrad frön & russin 40%;2244;393;11;9,6;61,4
Frukostflingor fullkorn naturell ;2245;382;10,2;2,6;74,4
After eight choklad mint;2246;409;2,6;4,6;88,1
Mozzarella ost fett 20 % ;2255;255;18,6;20,3;0
Lättmargarin fett 30% berikad typ Carlshamn LättLätt;2399;303;0,2;30;9
Flytande margarin fett 80% berikad typ Carlshamn gottgott;2400;707;0;80;0
Flytande margarin mjölkfri fett 80% berikad typ Carlshamn;2401;707;0;80;0
Bordsmargarin fett 60% berikad typ Carlshamn Runda Bords;2402;537;0,3;60;1,2
Bordsmargarin mjölkfri fett 70% berikad typ Carlshamn;2403;619;0;70;0
Hushållsmargarin mjölkfri fett 80% berikad typ Carlshamn;2404;707;0;80;0
Hushållsmargarin fett 80% berikad typ Carlshamn gottgott;2405;710;0,2;80;0,3
Lammrygg lammhals kokt;2413;212;21,1;14,3;0
Tilapia;2468;84;17,9;1,6;0
Flytande margarin fett 80% berikad typ Mjuka Milda;2470;710;0,3;80;0,4
Lättmargarin fett 39% berikad typ Milda;2471;358;0,2;39;3
Lättmargarin fett 28% berikad typ Mini Lätta;2472;272;2;28;4
Flytande margarin fett 82% typ Becel;2474;727;0;82;0,5
Basmatiris okokt;2475;359;9,2;1;76,7
Jasminris okokt;2477;354;7,5;0,7;78,2
Råris fullkorn långkornigt okokt;2478;365;9,4;3;71,9
Grötris 5-25 min koktid okokt;2479;364;6,4;0,6;81,3
Ris långkornigt okokt;2481;352;7,8;0,7;76,9
Ris långkornigt parboiled okokt;2482;362;7,7;1,2;78
Snabbris salt 1% okokt;2483;361;7,9;0,2;79,7
Snabbris okokt;2484;365;8,5;0,7;78,5
Grötris rundkornigt 1 timmes koktid okokt;2485;361;6,4;0,8;80,2
Lättmargarin yoghurt fett 28% berikad typ Lätta;2488;278;3;28;4,5
Lättmargarin fett 38% berikad Becel olive;2489;348;0;38;3
Bordsmargarin fett 70% berikad typ Becel Gold;2490;623;0,4;70;0,5
Köttfärs blandfärs (70% nöt 30% gris) ;2492;204;18,7;15;0
Köttfärs blandfärs (50% nöt 50% gris) ;2499;203;18,2;15;0
Döner kebab;2506;170;10,8;6,3;16,8
Kebab special m pommes frites;2507;175;9,2;9;13,7
Korv mos ketchup senap bostongurka;2508;105;3,4;4,4;12,5
Korv bröd ketchup senap;2509;255;9,8;14,1;21,6
Hamburgare dubbel bröd ost sallad dressing;2510;234;10,9;11,5;21,4
Hamburgare enkel bröd inlagd gurka;2511;218;10,9;8,5;24
Hamburgare enkel bröd inlagd gurka ost;2512;229;11;8,7;25,7
Basmatiris kokt;2513;121;3,1;0,3;25,8
Jasminris kokt;2514;113;2,4;0,2;25
Ris långkornigt kokt;2515;112;2,5;0,2;24,5
Ris långkornigt parboiled kokt;2516;130;2,8;0,4;28
Råris fullkorn långkornigt kokt;2517;138;3,6;1,1;27,2
Snabbris salt 1% kokt;2518;121;2,7;0,1;26,8
Snabbris kokt;2519;131;3;0,3;28,2
Tagliatelle äggpasta glutenfritt kokt;2520;159;1,1;1,9;34
Pasta glutenfri kokt;2521;153;3,1;0,5;32,8
Pasta 100% majs glutenfri kokt;2522;155;2,9;0,8;32,9
Mjölksås till moussaka;2524;106;6,6;5,1;8,4
Gröna ärter kokta;2547;78;5,9;0,4;9,6
Älgkalops;2548;92;15,3;2,3;2,3
Älghögrev;2552;113;22,5;2,3;0,2
Älgryggbiff tjur;2555;106;23,6;1,1;0
Tacoskal;2557;458;7,1;20,8;58,1
Romansallat;2559;16;1,9;0,2;0,9
Rucolasallat;2561;28;2,6;0,7;2
Inlagd sill m gräddfilssås;3035;289;5,2;23,2;15,6
Senapssill m sås;3036;237;5,6;17,8;13,7
Bulgur kokt;3136;86;3;0,3;16,6
Ren korv rå;3141;252;17,2;18,8;4
Lamm korv rå;3213;255;15,9;19,3;4,8
Älgfärs;3323;106;22,6;1,6;0
Älg ytterlår ;3324;102;22,1;1,3;0
Linfröolja;3433;884;0;100;0
Inlagd sill;3500;245;9,8;14;20
Quinoa röd kokt m salt;3518;140;4,4;2,4;21,7
Bulgur fullkorn kokt u salt;3564;113;4,1;0,6;20,7
Sojadryck berikad;3668;44;3,1;2,4;2,5
Havredryck berikad typ Solhavre;3669;44;1,1;1,6;5,8
Couscous fullkorn kokt m salt;3752;144;4,7;0,9;27
Pasta berikad kokt m salt typ Gammaldags idealmakaroner;3753;146;4;0,5;30
Pasta berikad kokt m salt typ Idealmakaroner;3754;131;4,6;0,6;25,4
Pasta berikad kokt m salt typ snabbmakaroner;3755;126;4;0,5;25
Pasta kokt m salt ;3756;139;4,6;0,6;27,5
Vita bönor torkade kokta m salt;3760;112;8,8;0,9;11
Stora vita bönor konserv;3761;107;6,9;0,8;14,6
Kikärter torkade kokta m salt;3762;133;8,1;2,9;12,6
Dinkel;3786;346;14,6;2,4;60,2
Rågsiktsbröd fibrer ca 7% ;3790;233;6,8;2,8;41,8
Bröd vitt fibrer ca 5% typ Jättefranska ;3791;247;7,4;4,2;41,9
Vitt bröd fibrer ca 6% typ Äntligen mjukbröd;3792;269;6,8;4,4;46,7
Hårt bröd fullkorn råg fibrer ca 14% typ Rågi Wasa;3793;349;8,8;1,7;66,7
Rågbröd fullkorn fibrer ca 6% typ Lingongrova Skördeglädje Gott gräddat;3794;248;7,4;2,2;46,1
Vitt bröd fibrer ca 5% typ Pågenlimpan Skogaholmslimpa;3795;246;6,8;2;46,6
Grahamsbröd fullkorn fibrer ca 13% typ Polarkraft extrem;3796;228;8,2;3,4;36
Rågbröd fullkorn fibrer ca 7% typ Kornelle Fullkorn plus;3797;226;9,3;2,3;38,3
Korvbröd grovt;3798;264;9,3;4,9;42,4
Kikärter konserv;3815;128;7,5;2,5;15,7
Kidneybönor röda bönor konserv;3816;110;8,8;0,7;13,4
Svarta bönor konserv;3817;111;8,1;1;13,8
Hamburgerbröd;3818;285;8,1;4,1;51,2
Vitt bröd mjölk fibrer ca 4% typ tekaka;3819;285;8,1;4,1;51,2
Bruna bönor rullpack;3820;95;4,4;0,5;15
Gröna linser torkade kokta m salt;3821;127;9,4;0,7;15,9
Röda linser torkade kokta m salt;3822;125;10,6;0,6;14,6
Röda linser konserv;3823;89;6,9;0,5;11,9
Gröna linser konserv;3824;92;6,3;0,6;13,1
Hamburgerbröd grovt;3825;264;9,3;4,9;42,4
Pasta berikad kokt m salt;3826;139;4,3;0,6;27,7
Pasta >50% fullkorn kokt m salt;3828;161;5,8;1;29,9
Ägg ekologiskt rått;3840;141;12,4;10,1;0,4
Äggula ekologisk;3841;327;16,2;29,2;0,6
Dinkel speltvete kokt;3845;129;5,4;0,9;22,5
Mâchesallat;4052;19;2,6;0,2;0,8
Hampfröolja;4074;884;0;100;0
Lättmargarin m omega 3 mjölkfri fett 40% berikad typ Carlshamn;4085;354;0;40;0
Lättmargarin m växtstanol 7,2% fett 32% berikad typ Benecol;4086;297;2,8;32;0,7
Lättmargarin laktosfri m växtstanol 7,2% fett 32% berikad typ Benecol;4087;296;2,8;32;0,3
Hushållsmargarin mjölkfri fett 80% berikad typ Milda;4095;707;0;80;0
Lättmargarin fett 40% berikad typ VitaDor;4104;354;0;40;0
Lättmargarin fett 40% berikad typ Coop;4105;358;0,5;40;0,5
Lättmargarin fett 40% berikad typ Willys;4106;358;0,5;40;0,5
Bordsmargarin fett 60% berikad typ Euroshopper;4107;535;0,5;60;0,5
Hushållsmargarin fett 70% berikad typ X-tra;4109;623;0,5;70;0,5
Hushållsmargarin fett 80% berikad typ VitaDor;4110;707;0;80;0
Hushållsmargarin fett 80% berikad typ Hemköp;4111;708;0,1;80;0,1
Hushållsmargarin fett 80% berikad typ ICA;4112;710;0,2;80;0,3
Nudlar kokta m kryddor;4117;102;2,4;4,3;11,8
Palmolja;4131;884;0;100;0
Ägg ekologiskt stekt;4134;195;12,2;16,3;0,4
Ägg ekologiskt kokt ;4135;141;12,4;10,1;0,4
Pangasiusmal;4226;65;13,1;1,1;0
Solist rå;4385;63;1;0,1;13,6
Swift rå;4386;53;1,1;0,1;11
Solist kokt m salt;4415;77;1,4;0,1;16,4
Swift kokt m salt;4416;62;1,5;0,1;12,5
Asterix rå;4445;74;1,8;0,1;14,8
Risnudlar;4447;360;3,4;0,6;83,2
Risnudlar kokta;4448;109;0,9;0,2;24,9
Havtorn;4456;86;0,7;5;6,3
Potatis rå;4457;79;1,7;0,1;16,4
Potatis kokt m salt;4458;83;1,8;0,1;17,5
Grönkålssallad;4504;88;2,4;2,6;12,1
Kålrotslåda;4505;65;3,6;2,2;6,7
Färskpotatis kokt m salt;4511;71;1,4;0,1;14,8
Färskpotatis rå;4512;59;1,1;0,1;12,5
Inova rå;4513;66;1,9;0,1;13,1
King Edward rå;4514;83;1,8;0,1;17,7
Mandelpotatis rå;4515;89;2,2;0,1;18,1
Storkökspotatis kokt m salt;4516;76;1,7;0,1;15,8
Asterix kokt m salt;4518;81;1,9;0,1;16,8
Inova kokt m salt;4519;75;1,8;0,1;15,4
King Edward kokt m salt;4520;85;1,8;0,1;18
Mandelpotatis kokt m salt;4521;102;2,4;0,1;21,2
Fläskfärs gris fett 15 %;4583;202;16,8;15,1;0
Hoki;4586;72;16,6;0,5;0
Aronia;4588;49;0,7;0,1;8,3
Vita vinbär;4589;54;1,4;0,2;9,5
Ris rundkornigt kokt;4591;129;2,3;0,3;28,6
Pilgrimsmusslor;4600;45;9,5;0,5;0
Laxbullar m sås tillagade;4601;114;5,3;7,2;7,2
Fiskpinnar ugnsstekt;4602;207;12,3;9,1;19
Skarpsill;4607;140;17,6;9,1;0
Inlagd sill u lag;4608;235;9,8;12;21,9
Inlagd höstsill u lag;4609;247;11,7;12;23,1
Senapssill u sås;4610;251;7,8;17,8;15,2
Kapkummel;4611;69;16,6;0,6;0
Guldsparid;4612;185;18,9;11,4;0
Havsabborre;4613;142;19,5;6,2;0
Alaska pollock;4615;71;17,6;0,5;0
Guldsparid grillad;4616;201;23,1;11,1;0
Havsabborre grillad;4617;159;23,8;6;0
Olivolja extra jungfruolja;4659;884;0;100;0
Rapsolja kallpressad;4661;884;0;100;0
Flytande matfettsblandning fett 80 % typ smör och rapsolja;4662;711;0;80;0,8
Matfettsblandning fett 43% typ Bregott mindre ;4663;403;0,5;43;5
Småtomater röda typ körsbärstomat;4937;25;0,8;0,1;4,4
Torkade tomater;4938;167;9,4;1,5;23,3
Broccoli kokt;4939;26;2,4;0,3;2
Spenat färsk;4941;24;3,3;0,4;0,8
Röd mangold småbladig färsk;4942;16;2,1;0,5;0
Lök röd;4947;46;1,2;0,1;9
Kantarell;5007;24;1,7;0,3;2
Hjort kött kronhjort rå;5043;108;22,3;2;0
Hjort färs dovhjort rå;5044;134;21,8;5,1;0
Ren kött kallrökt rå;5045;132;26,2;2,7;0,5
Hjort skav rå;5046;127;17,9;6,3;0
Hjort korv rå;5047;231;17;17,6;1,4
Vildsvin bog rå;5048;104;22,6;1,4;0
Vildsvin filé rå;5049;112;23,3;1,8;0
Rådjur stek rå;5050;104;23,6;1,1;0
Vildsvin stek rå;5058;105;23;1,3;0
Kyckling korv rå;5059;197;9,4;13,6;9,6
Bacon gris rökt stekt;5062;348;19;30,6;0
Rådjur bog rå;5064;109;24,3;1,4;0
Ren kött rå;5065;108;23,1;1,7;0
Höstpotatis kokt u salt;5136;85;1,9;0,1;17,8
Potatis kokt u salt;5153;83;1,8;0,1;17,5
